family,level,seed,method,metric,n,mean,sd,ci_lo,ci_hi
CF1,L4,0,inpaint_ns,psnr_masked,300,28.14608837712026,7.97219999907345,27.256010545588754,29.055779828356574
CF1,L4,0,inpaint_ns,ssim,300,0.8854772390392641,0.041829259087677005,0.8808215593385867,0.8902504663612261
CF1,L4,0,inpaint_ns,hrp,300,0.7164967148502668,0.13149981003490469,0.7011686864917477,0.7311733801091711
CF1,L4,0,dictlearn,psnr,300,19.990246532662727,5.21046855293551,19.40060120231659,20.57975795249859
CF1,L4,0,dictlearn,psnr_masked,300,16.979946590731117,5.210468571288449,16.40835130797582,17.58076266841318
CF1,L4,0,dictlearn,ssim,300,0.45908027360084286,0.1501741625133931,0.44206756371986944,0.47591842673801354
CF1,L4,0,dictlearn,hrp,300,0.0,0.0,0.0,0.0
CF1,L4,0,csfr,psnr,300,32.33971854295218,8.329621377490273,31.425677357969267,33.27423891625286
CF1,L4,0,csfr,psnr_masked,300,29.329418610822735,8.32962136852495,28.402641384627348,30.28550487506192
CF1,L4,0,csfr,ssim,300,0.8964732781639575,0.04517796016158891,0.8913984480367012,0.9014639905667218
CF1,L4,0,csfr,hrp,300,0.7338073377807935,0.13146438620089446,0.7189607754871249,0.7484062920088569
CF1,L4,1,zero_fill,psnr,300,10.718098316873325,3.452968810108374,10.33821492106078,11.10882165495818
CF1,L4,1,zero_fill,psnr_masked,300,7.707798357830243,3.4529688130420886,7.324948768546687,8.096770564049953
CF1,L4,1,zero_fill,ssim,300,0.13946857651021363,0.11153480646599583,0.1272369410524541,0.15211865162823185
CF1,L4,1,zero_fill,hrp,300,3.2525480930010477,2.677012572600409,2.9599913394600152,3.5601184136172135
CF1,L4,1,bilinear,psnr,300,29.57186127773468,6.135047647783448,28.895370014804737,30.279109462607913
CF1,L4,1,bilinear,psnr_masked,300,26.56156133517098,6.135047648769357,25.885507297541572,27.26229657756271
CF1,L4,1,bilinear,ssim,300,0.8990850991748154,0.04266366247252813,0.8941422264463342,0.9039513791104362
CF1,L4,1,bilinear,hrp,300,0.7485961046814918,0.11626820031865934,0.7353815357560913,0.7617031034876902
CF1,L4,1,inpaint_telea,psnr,300,28.87820194363044,6.84084749798062,28.11444409496069,29.64848035553671
CF1,L4,1,inpaint_telea,psnr_masked,300,25.86790198699063,6.84084749798062,25.0987843668332,26.641583081435552
CF1,L4,1,inpaint_telea,ssim,300,0.822983194980227,0.04942943555694892,0.8172991946441166,0.8283639645940885
CF1,L4,1,inpaint_telea,hrp,300,0.6793320090572039,0.14326852120456535,0.6631192312985659,0.6955798867965738
CF1,L4,1,inpaint_ns,psnr,300,31.184952827590582,7.996403977848581,30.30010989828987,32.1114907057984
CF1,L4,1,inpaint_ns,psnr_masked,300,28.174652870950766,7.996403977848581,27.283160661526818,29.098073406393688
CF1,L4,1,inpaint_ns,ssim,300,0.8857872190414351,0.04237318688150175,0.8810928218263726,0.8906444325123012
CF1,L4,1,inpaint_ns,hrp,300,0.7159472766021887,0.13173284740474803,0.7011380534954369,0.7307079984930654
CF1,L4,1,dictlearn,psnr,300,19.99367959090175,5.217465137355839,19.40595746868639,20.581471927558795
CF1,L4,1,dictlearn,psnr_masked,300,16.983379638957466,5.217465113991537,16.397895892824007,17.579684477707385
CF1,L4,1,dictlearn,ssim,300,0.45919599080218365,0.1490928579921221,0.4419959049701363,0.475567192925054
CF1,L4,1,dictlearn,hrp,300,0.0,0.0,0.0,0.0
CF1,L4,1,csfr,psnr,300,32.35296566120141,8.317413244557606,31.4342432737283,33.27461801090551
CF1,L4,1,csfr,psnr_masked,300,29.34266570977207,8.317413234149331,28.41332887403626,30.285124763083072
CF1,L4,1,csfr,ssim,300,0.8965862407058862,0.0454995557059677,0.8914282864801771,0.9017795369148857
CF1,L4,1,csfr,hrp,300,0.7329423607389132,0.13187188303260006,0.717955209578077,0.7476596903180083
CF1,L4,2,zero_fill,psnr,300,10.72126121874811,3.456267411479545,10.337715362578194,11.113437237321785
CF1,L4,2,zero_fill,psnr_masked,300,7.710961256176834,3.456267413144371,7.326063650372989,8.110470244499924
CF1,L4,2,zero_fill,ssim,300,0.13907285979247774,0.11133942477506223,0.12696055256793334,0.15206139274847139
CF1,L4,2,zero_fill,hrp,300,3.2609779316186907,2.7408724662377244,2.9608600004861754,3.5874507518907386
CF1,L4,2,bilinear,psnr,300,29.43331896370266,5.69207479140681,28.794975486148157,30.085422196407976
CF1,L4,2,bilinear,psnr_masked,300,26.423019004052268,5.692074776007873,25.787239362820376,27.08049744675042
CF1,L4,2,bilinear,ssim,300,0.8988341439290763,0.04277305372191407,0.8940998918262331,0.9036458263501628
CF1,L4,2,bilinear,hrp,300,0.7488884084423383,0.11267393444498411,0.7358109564557672,0.7615460885763168
CF1,L4,2,inpaint_telea,psnr,300,28.917978970041045,6.820812729436491,28.159460059696862,29.69381123645123
